;airport;departure;destination;total
365.0;KACY;384.0;268.0;652.0
366.0;KSCK;382.0;310.0;692.0
367.0;KUAO;382.0;202.0;584.0
368.0;02II;382.0;311.0;693.0
369.0;KOAR;382.0;215.0;597.0
370.0;KT67;382.0;405.0;787.0
371.0;CYHU;382.0;492.0;874.0
372.0;KVBT;381.0;290.0;671.0
373.0;LSZB;380.0;337.0;717.0
374.0;LFLL;380.0;244.0;624.0
375.0;LEPA;379.0;277.0;656.0
376.0;0OH9;379.0;210.0;589.0
377.0;LFLY;378.0;313.0;691.0
378.0;EHEH;378.0;268.0;646.0
379.0;KRNT;378.0;317.0;695.0
380.0;K3CK;378.0;295.0;673.0
381.0;KSBA;377.0;387.0;764.0
382.0;EVRA;377.0;277.0;654.0
383.0;KWRI;377.0;264.0;641.0
384.0;K47A;377.0;286.0;663.0
385.0;KPAO;376.0;413.0;789.0
386.0;LSZR;375.0;176.0;551.0
387.0;KCHD;374.0;325.0;699.0
388.0;6FD7;374.0;585.0;959.0
389.0;01FA;374.0;225.0;599.0
390.0;EDDW;371.0;289.0;660.0
391.0;KNUQ;371.0;314.0;685.0
392.0;KAXH;370.0;358.0;728.0
393.0;FD81;369.0;386.0;755.0
394.0;7PS7;365.0;357.0;722.0
395.0;KPVU;365.0;309.0;674.0
396.0;KMOD;365.0;311.0;676.0
397.0;KFWS;365.0;162.0;527.0
399.0;KMPO;364.0;256.0;620.0
400.0;KRHV;363.0;355.0;718.0
401.0;LPFR;362.0;270.0;632.0
402.0;7FL6;362.0;327.0;689.0
403.0;KMGM;359.0;271.0;630.0
404.0;EDSB;357.0;197.0;554.0
405.0;KMQY;356.0;232.0;588.0
407.0;UUDD;356.0;251.0;607.0
408.0;ULLI;355.0;188.0;543.0
409.0;EDFM;355.0;312.0;667.0
410.0;EDMA;354.0;317.0;671.0
411.0;KLWC;353.0;296.0;649.0
412.0;PA84;353.0;155.0;508.0
413.0;KPGD;352.0;220.0;572.0
414.0;EGTK;351.0;303.0;654.0
416.0;EDFE;349.0;306.0;655.0
417.0;KVUO;349.0;397.0;746.0
418.0;VHHH;348.0;277.0;625.0
419.0;KGIF;347.0;276.0;623.0
420.0;KMDQ;346.0;235.0;581.0
421.0;KBTL;346.0;190.0;536.0
422.0;KMJX;346.0;281.0;627.0
424.0;6FD6;345.0;313.0;658.0
425.0;KU42;344.0;520.0;864.0
426.0;KCUB;343.0;306.0;649.0
427.0;KBAZ;343.0;206.0;549.0
428.0;LIPE;343.0;263.0;606.0
429.0;EPPO;342.0;278.0;620.0
430.0;OTHH;341.0;216.0;557.0
431.0;KCCB;341.0;247.0;588.0
432.0;KMHT;341.0;189.0;530.0
433.0;LEZL;340.0;186.0;526.0
435.0;8TX7;340.0;251.0;591.0
436.0;YSSY;339.0;233.0;572.0
437.0;LGIR;338.0;245.0;583.0
438.0;KBKV;338.0;232.0;570.0
439.0;EDLW;338.0;280.0;618.0
440.0;EGPF;337.0;267.0;604.0
441.0;KTYR;337.0;185.0;522.0
442.0;LIEO;337.0;286.0;623.0
443.0;KAND;335.0;272.0;607.0
444.0;K39N;335.0;284.0;619.0
445.0;NC03;334.0;256.0;590.0
446.0;CYKF;334.0;277.0;611.0
447.0;KOXC;334.0;210.0;544.0
448.0;KI69;332.0;292.0;624.0
449.0;KT31;332.0;305.0;637.0
450.0;KC77;332.0;280.0;612.0
451.0;EDVE;331.0;288.0;619.0
452.0;SN59;331.0;499.0;830.0
453.0;KMIC;330.0;299.0;629.0
454.0;KLBB;330.0;262.0;592.0
455.0;5PA3;328.0;467.0;795.0
456.0;KCBF;328.0;297.0;625.0
457.0;KVAY;328.0;301.0;629.0
458.0;EDLN;328.0;333.0;661.0
459.0;LL22;327.0;386.0;713.0
460.0;KTMB;327.0;239.0;566.0
461.0;LFPV;327.0;313.0;640.0
462.0;KBQR;326.0;244.0;570.0
463.0;CYTZ;326.0;299.0;625.0
464.0;KSDM;326.0;260.0;586.0
465.0;EGMC;325.0;253.0;578.0
466.0;K3R9;325.0;207.0;532.0
467.0;KSBD;325.0;233.0;558.0
469.0;KCOE;322.0;266.0;588.0
471.0;KGYH;321.0;223.0;544.0
472.0;KW32;321.0;534.0;855.0
473.0;LYBE;320.0;194.0;514.0
475.0;KPYM;320.0;276.0;596.0
476.0;KGYR;319.0;246.0;565.0
477.0;MA72;318.0;271.0;589.0
480.0;K9X1;317.0;374.0;691.0
